,Shoes_Description,Shoes_brand,Shoes_Prices
0,"LightWeight Durable Sports,outdoor,walking,Running ,gym...",Hambler,₹297
1,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
2,Trending Stylish Casual Outdoor Sneakers Shoes For Men ...,URBANBOX,₹299
3,Trendy Running Shoes Running Shoes For Men,BRUTON,₹299
4,Modern Trendy Sneakers Shoes Sneakers For Men,BRUTON,₹229
5,Lite Sports Shoes Running Shoes For Men,BRUTON,₹547
6,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
7,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,159"
8,DYNAMIC RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,320"
9,Trendy & Stylish Running Shoes For Men,HOTSTYLE,₹239
10,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
11,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹326
12,Sneakers For Women,Deals4you,₹299
13,FK-394 Ultrafit Running Shoes For Men,Free Kicks,₹279
14,Wind-04 Walking Shoes For Men,asian,₹649
15,HURRICANE Running Shoes For Men,CAMPUS,₹749
16,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
17,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
18,Premium Sports Shoes for Men Walking Shoes For Men,BIRDE,₹309
19,Slip On For Men,INVICTUS,"₹1,219"
20,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
21,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
22,Sneakers Walking Shoes For Men,URBANBOX,₹159
23,HURRICANE Running Shoes For Men,CAMPUS,₹749
24,Fit-Man Loafers For Men,BRUTON,₹149
25,"Delta-20 White Sports,Casual,Walking,Gym, Walking Shoes...",asian,₹869
26,Running Shoes For Men,BERSACHE,₹882
27,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
28,Premium Comfortable Regular Wear Walking Shoes For Men,BIRDE,₹491
29,"Delta-20 Grey Sports,Casual,Walking,Gym, Walking Shoes ...",asian,₹869
30,PATRIK PRO Running Shoes For Men,CAMPUS,₹989
31,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹649
32,Slip On For Men,Bata,₹649
33,Trendy Sports Running Running Shoes For Men,BRUTON,₹299
34,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹243
35,Lace Up For Men,INVICTUS,"₹1,219"
