,Shoes_Description,Shoes_brand,Shoes_Prices
0,Lite Sports Shoes Running Shoes For Men,BRUTON,₹549
1,Trendy & Affordable Collection Of Stylish For Men,STALAG,₹559
2,Trendy Running Shoes Running Shoes For Men,BRUTON,₹369
3,Trending Stylish Casual Outdoor Sneakers Shoes For Men ...,URBANBOX,₹299
4,Sneakers For Women,Deals4you,₹399
5,Lite Sports Shoes Running Shoes For Men,BRUTON,₹579
6,Boots For Men,Layasa,₹499
7,New Trendy Comfort Exclusive Daily Upgrade Your style G...,SEEVAE,₹699
8,Lace Up For Men,Delize,"₹3,184"
9,Modern Trendy Sneakers Shoes Sneakers For Men,BRUTON,₹229
10,Stylish High Tops For Men,lejano,₹585
11,GROOVY Mid-Top Casual Chunky Streetwear Fashion Sneaker...,Kraasa,₹599
12,Trendy & Stylish Running Shoes For Men,HOTSTYLE,₹299
13,Trendy & Stylish Loafers For Men,HOTSTYLE,₹349
14,Sneakers For Men,ATOM,"₹1,289"
15,Premium Sports Shoes for Men Walking Shoes For Men,BIRDE,₹449
16,Trendy Chunky Classic Fashion Casual Sneakers Boot /Cas...,Zixer,₹662
17,Sneakers For Men,ATOM,"₹1,289"
18,HURRICANE Running Shoes For Men,CAMPUS,₹799
19,Lace Up For Men,Delize,"₹3,184"
20,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
21,Boots For Men,Kraasa,₹599
22,FAST Trendy Trainer Execellent Running Gear Lace-Ups Sp...,HOTSTYLE,₹399
23,Trendy & Stylish Loafers For Men,HOTSTYLE,₹349
24,"Wind-04 Grey Sports, Gym, Training, Running, Trendy Wal...",asian,₹599
25,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,349"
26,Shoes for Men6 Walking Shoes For Men,Rover Shoes,₹629
27,Boots For Men,Layasa,₹499
28,Trendy Sports Running Running Shoes For Men,BRUTON,₹389
29,Sneakers For Men,Layasa,₹359
30,Sneakers For Men,ATOM,"₹1,289"
31,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹629
32,Sneakers Walking Shoes For Men,URBANBOX,₹159
33,CozySock Walking Shoes For Women,Kraasa,₹319
34,Lace Up For Men,Bata,₹799
35,"Comfortable Outdoor,Casual, walking, Training,Trekking ...",BERSACHE,₹631
36,Sneakers For Men,ATOM,"₹1,289"
37,Street Pro Lock=Tala Sneaker/Casual Lock Sneakers For B...,Zixer,₹661
38,Trendy & Stylish Loafers For Men,HOTSTYLE,₹349
39,Premium Comfortable Regular Wear Walking Shoes For Men,BIRDE,₹599
40,Sneakers For Men,Bacan,₹560
41,Sneakers For Women,Layasa,₹460
42,Sneakers For Men,Nobelite,₹469
43,"Delta-20 Grey Sports,Casual,Walking,Gym, Walking Shoes ...",asian,₹869
44,FS-10 Football Shoes For Men,Golazo,₹539
45,Boxer Boots For Men,HOTSTYLE,₹379
46,Lite Sports Shoes Running Shoes For Men,BRUTON,₹549
47,Stylish Casual Sports Shoe Sneakers For Women,Layasa,₹425
48,SYRUS Running Shoes For Men,CAMPUS,"₹1,399"
49,Casuals For Men,Nobelite,₹449
50,GROOVY Mid-Top Casual Chunky Streetwear Fashion Sneaker...,Kraasa,₹599
51,Stylish High Tops For Men,lejano,₹585
52,Slip On For Men,Bata,₹709
53,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,379"
54,kardam&sons luxury fashionable Stylish Light Weight Sne...,kardam&sons,₹368
55,Premium Sports Shoes for Women Walking Shoes For Women,BIRDE,₹315
56,Men's High Top Ankle Retro Air Original Sneakers || Boy...,Zixer,₹674
57,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
58,Casual Sneaker Shoes For Men | Enhanced Comfort with Cu...,asian,₹799
59,Rider-01 White Running Shoes for Men I Sport Shoes for ...,asian,"₹1,099"
60,Sneakers For Men,ATOM,"₹1,289"
61,Women's Mesh Sports Shoes Walking Sneakers For Women,Layasa,₹419
62,"Supperjoyo Sports shoes, Running, Walking, Lightweight,...",JQR,₹999
63,"Sports Walking Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,179"
64,Premium Comfortable Regular Wear Walking Shoes For Men,BIRDE,₹569
65,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,349"
66,Boots For Men,Kraasa,₹599
67,Shoes for Men6 Walking Shoes For Men,Rover Shoes,₹629
